gradient,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
None,5,0.6,0.0005,True,4.930799019530064,0.12028133324058742,0.11330512018913903,0.5440657138824463,4686,205,213
Grad,5,0.6,0.0005,True,4.930799019530064,0.12028133388652956,0.11330725895217145,0.14940381050109863,205,202,205
None,5,0.6,0.001,True,1.0807446405762207,0.14948571461999532,0.13921135958476905,0.4886798858642578,4312,189,196
Grad,5,0.6,0.001,True,1.0807446405762207,0.14948571414109352,0.13921197544937258,0.13945794105529785,200,192,200
None,5,0.8,1e-05,True,4.878516707612503,0.06900393006221602,0.07884601002577023,1.5632097721099854,14542,612,661
Grad,5,0.8,1e-05,True,4.878516707612503,0.069003930062185,0.07884639930176668,0.5531792640686035,823,760,823
None,5,0.8,5e-05,True,2.2059694441254063,0.07454429031182948,0.10531945231231407,0.4844551086425781,4554,203,207
Grad,5,0.8,5e-05,True,2.2059694441254063,0.07454429029592138,0.10532023443858318,0.13523101806640625,201,197,201
None,5,0.8,0.0001,True,4.8702161634630885,0.07177996269752276,0.07512466464625532,0.7356300354003906,6886,297,313
Grad,5,0.8,0.0001,True,4.8702161634630885,0.07177996270637804,0.07512480917074882,0.21285295486450195,318,305,318
None,5,0.8,0.0005,True,1.2141812341955873,0.12836245760407797,0.12439449846529396,0.4985647201538086,4642,202,211
Grad,5,0.8,0.0005,True,1.2141812341955873,0.12836245752606937,0.12439340809800387,0.15245723724365234,225,219,225
None,5,0.8,0.001,True,2.25515484877594,0.1407651344428347,0.12430457276641968,0.26550984382629395,2464,111,112
Grad,5,0.8,0.001,True,2.25515484877594,0.14076513442323815,0.1243045286963674,0.07631301879882812,112,111,112
None,5,1.0,1e-05,True,1.7658746405362862,0.04845667870142945,0.041200342111392736,0.7206361293792725,6754,286,307
Grad,5,1.0,1e-05,True,1.7658746405362862,0.04845667869236969,0.04120044946619064,0.21544694900512695,317,292,317
None,5,1.0,5e-05,True,1.0072185405447724,0.0652685288473474,0.050311321295706,0.7366089820861816,6886,297,313
Grad,5,1.0,5e-05,True,1.0072185405447724,0.06526852884619573,0.05031081828574191,0.22009897232055664,308,289,308
None,5,1.0,0.0001,True,1.751138292601731,0.0833064946951677,0.09123253617018434,0.6539781093597412,6116,265,278
Grad,5,1.0,0.0001,True,1.751138292601731,0.08330649469642878,0.09123252680184217,0.18424177169799805,271,260,271
None,5,1.0,0.0005,True,2.0324143956242615,0.11311592793145284,0.09940016660612133,0.2477738857269287,2310,104,105
Grad,5,1.0,0.0005,True,2.0324143956242615,0.11311592790284682,0.09940016896951599,0.07178616523742676,105,104,105
None,5,1.0,0.001,True,3.8322244059998996,0.12590427401946433,0.11771104208350414,0.23501801490783691,2200,97,100
Grad,5,1.0,0.001,True,3.8322244059998996,0.12590427413344868,0.11771083266223847,0.06799936294555664,100,97,100
None,5,1.2,1e-05,True,2.893927069213492,0.07372989554116702,0.0856310554207585,0.8188481330871582,7524,323,342
Grad,5,1.2,1e-05,True,2.893927069213492,0.07372989555330245,0.08563057516403258,0.2393360137939453,356,335,356
None,5,1.2,5e-05,True,8.40200225161309,0.05827309669926099,0.05124058776360421,0.5004129409790039,4686,201,213
Grad,5,1.2,5e-05,True,8.40200225161309,0.05827309668341343,0.051240989890601676,0.14302396774291992,213,199,213
None,5,1.2,0.0001,True,3.1703788058782103,0.05467268028430321,0.05581168156221497,0.5737588405609131,5302,224,241
Grad,5,1.2,0.0001,True,3.1703788058782103,0.05467268030492122,0.0558114578528391,0.1600492000579834,235,223,235
None,5,1.2,0.0005,True,3.1742220317109875,0.11104160916294467,0.09729852830764009,0.4046037197113037,3806,171,173
Grad,5,1.2,0.0005,True,3.1742220317109875,0.1110416091233864,0.09729880732068735,0.11698698997497559,171,167,171
None,5,1.2,0.001,True,2.5135467787614263,0.12758532788164517,0.11187881285739157,0.226546049118042,2134,95,97
Grad,5,1.2,0.001,True,2.5135467787614263,0.12758532790118787,0.11187883115344568,0.06505489349365234,97,95,97
None,5,2.0,1e-05,True,2.6479137418602194,0.047965237709769425,0.040799157149789815,0.8241472244262695,7700,319,350
Grad,5,2.0,1e-05,True,2.6479137418602194,0.047965237674395186,0.04079922694105316,0.24582862854003906,363,339,363
None,5,2.0,5e-05,True,2.4856390782003412,0.056872012716031164,0.05011523664763485,0.5327250957489014,4994,213,227
Grad,5,2.0,5e-05,True,2.4856390782003412,0.056872012726782925,0.05011514907628997,0.15192389488220215,223,209,223
