gradient,K,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
Grad,5,15,0.6,0.0005,True,2153.0638694470626,0.1009437005385044,0.1222967407479431,9.859843826293945,554,542,554
Grad,5,15,0.6,0.001,True,1549.8848140719688,0.13799466414398676,0.16082572130507355,9.649068212509155,545,530,545
Grad,5,15,0.8,1e-05,True,3231.6884134705942,0.004211147069215221,0.004867391506830059,52.469980573654176,2945,2809,2945
Grad,5,15,0.8,5e-05,True,3228.325253372467,0.018016945923651623,0.025839939972423655,21.954756832122804,1275,1232,1275
Grad,5,15,0.8,0.0001,True,3242.054569929911,0.029967714050174704,0.04005239916206901,14.25770444869995,811,793,811
Grad,5,15,0.8,0.0005,True,3746.468615116412,0.07717683617318263,0.10394426961847125,9.616164398193359,588,576,588
Grad,5,15,0.8,0.001,True,2432.1587538368926,0.12038484539789611,0.13638146165663914,8.041184759140014,510,500,510
Grad,5,15,1.0,1e-05,True,3187.43216558428,0.0033007995029533553,0.00392201294181612,35.38822865486145,2293,2192,2293
Grad,5,15,1.0,5e-05,True,3171.013619241999,0.01326467516512351,0.015592275510356602,16.282455015182496,1005,977,1005
Grad,5,15,1.0,0.0001,True,2978.0951242941023,0.023733891655990474,0.028539474371033925,16.639791631698607,966,945,966
Grad,5,15,1.0,0.0005,True,4546.880816127084,0.06660584259438503,0.08480400083765509,9.395600175857544,542,529,542
Grad,5,15,1.0,0.001,True,3961.071626663414,0.10017575103140759,0.13201637068860003,8.041950559616089,460,453,460
Grad,5,15,1.2,1e-05,True,4350.925715865831,0.0026093440353405686,0.003036462016784372,29.763355875015257,1716,1645,1716
Grad,5,15,1.2,5e-05,True,3395.082951425294,0.012733986703217747,0.01587787297357985,18.92310199737549,1054,1023,1054
Grad,5,15,1.2,0.0001,True,3757.9758137754498,0.01964434367797134,0.029275370552140988,17.795032358169557,1030,1003,1030
Grad,5,15,1.2,0.0005,True,4748.927622148638,0.059448325334929206,0.07427820656567496,9.453609371185303,572,557,572
Grad,5,15,1.2,0.001,True,3282.8950113679766,0.08719264283434369,0.10598426332694291,5.682786846160889,329,324,329
Grad,5,15,1.5,1e-05,True,4382.671935622838,0.0034877660410484743,0.019831180079101226,59.19396443367005,3449,3316,3449
Grad,5,15,1.5,5e-05,True,3825.5617030397593,0.0087508425021313,0.009941969959203368,15.517537784576415,901,875,901
Grad,5,15,1.5,0.0001,True,5649.135260309513,0.015262274138871235,0.030645891222412507,17.150615310668947,1042,1005,1042
Grad,5,15,1.5,0.0005,True,5336.534262358469,0.05168630428166606,0.07574341380223892,10.65902829170227,597,587,597
Grad,5,15,1.5,0.001,True,3263.645333693982,0.07531685070061081,0.08849508830511552,6.6765063285827635,371,364,371
Grad,5,15,1.8,1e-05,True,6212.697937178531,0.0016668696747341946,0.0019776963618180583,37.36753935813904,2249,2159,2249
Grad,5,15,1.8,5e-05,True,6885.990725242504,0.0070494584756761345,0.00908601791623241,18.962242889404298,1077,1041,1077
Grad,5,15,1.8,0.0001,True,4735.402738289858,0.01616394768410955,0.02196987138782565,22.12872223854065,1267,1227,1267
Grad,5,15,1.8,0.0005,True,5381.478748437747,0.045964720265853416,0.06261129271567126,11.649074459075928,721,705,721
Grad,5,15,1.8,0.001,True,7082.3271749184405,0.06781548589863289,0.07889548252847013,8.53526496887207,531,521,531
Grad,5,5,0.2,1e-05,True,447.48486540447584,0.05521165635540989,0.06532552597759372,7.013311243057251,667,624,667
Grad,5,5,0.2,5e-05,True,511.3478639427504,0.0878131564906157,0.10178967601827256,4.325558423995972,399,381,399
Grad,5,5,0.2,0.0001,True,439.47858331113997,0.10466641436600088,0.12271170253160038,3.3158918380737306,283,272,283
Grad,5,5,0.2,0.0005,True,393.07646016192524,0.19116642055289146,0.20312194970574465,3.3713361740112306,262,250,262
Grad,5,5,0.2,0.001,True,445.5205761161414,0.2721609397343476,0.2830913548313446,2.5908799171447754,229,217,229
Grad,5,5,0.4,1e-05,True,591.3272349510382,0.05910695270429989,0.08343232930209407,5.646099185943603,476,447,476
Grad,5,5,0.4,5e-05,True,574.0766013219503,0.06745753712678525,0.09890808571692128,4.00753116607666,351,334,351
Grad,5,5,0.4,0.0001,True,766.1367992478497,0.07760667624440369,0.09366245694791415,3.565411901473999,285,270,285
