gradient,K,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
Grad,5,5,0.8,5e-05,True,324.6110502030067,0.11721041693695451,0.147375525081938,0.13352084159851074,95,91,95
Grad,5,5,0.8,0.0001,True,385.96907414438334,0.15337007787907225,0.20316295935357004,0.1533656120300293,130,119,130
Grad,5,5,0.8,0.0005,True,359.32163860429733,0.1400690845185095,0.1714774028293738,0.1422804355621338,100,89,100
Grad,5,5,0.8,0.001,True,274.4141137191909,0.21295742928483846,0.25725971648883633,0.11149168014526367,103,97,103
Grad,5,5,1.0,1e-05,True,237.28691341988616,0.08739133535765449,0.10627214544672621,0.1937406063079834,140,132,140
Grad,5,5,1.0,5e-05,True,251.93831453419799,0.11450183582964939,0.1349237599070928,0.16886119842529296,130,125,130
Grad,5,5,1.0,0.0001,True,234.8528555800163,0.13155594784154692,0.17037431816876114,0.11108193397521973,88,87,88
Grad,5,5,1.0,0.0005,True,566.6793528152998,0.15457408920526422,0.17922905372667022,0.2438974380493164,180,155,180
Grad,5,5,1.0,0.001,True,749.6972798799839,0.16373908545373617,0.19343387280225746,0.08863506317138672,107,101,107
Grad,5,5,1.2,1e-05,True,375.99319626250724,0.10323141910066654,0.11960018311340721,0.2270656108856201,163,155,163
Grad,5,5,1.2,5e-05,True,241.08925570183976,0.11551407180398014,0.1500677067240737,0.15171232223510742,108,105,108
Grad,5,5,1.2,0.0001,True,336.6249424617264,0.12213751466394669,0.14632448331285808,0.12761392593383789,101,100,101
Grad,5,5,1.2,0.0005,True,427.6986133457529,0.1408903445885987,0.17228579361998247,0.14302330017089843,106,102,106
Grad,5,5,1.2,0.001,True,1803.9686772450636,0.1610745692895527,0.17451552529500175,0.08311142921447753,110,103,110
Grad,5,5,1.5,1e-05,True,335.5216291353706,0.11786835980414574,0.14694445059525968,0.2891990184783936,214,204,214
Grad,5,5,1.5,5e-05,True,991.4316488195948,0.1228501567928875,0.14702348341858812,0.23487043380737305,169,162,169
Grad,5,5,1.5,0.0001,True,212.02813618264474,0.12999233893669862,0.14436239639128887,0.14750399589538574,126,121,126
Grad,5,5,1.5,0.0005,True,395.73197201885137,0.17041084382052604,0.1990736483092719,0.1551546573638916,128,124,128
Grad,5,5,1.5,0.001,True,301.95580579487347,0.17342102353020955,0.20359729737664584,0.12872848510742188,97,94,97
Grad,5,5,1.8,1e-05,True,313.77955403859494,0.12818742879242462,0.14775130890562047,0.39456448554992674,326,308,326
Grad,5,5,1.8,5e-05,True,476.2606253203775,0.137156238090174,0.1605661711507294,0.23554577827453613,188,180,188
Grad,5,5,1.8,0.0001,True,314.3568584316042,0.14329260562578502,0.1576288625001451,0.1648353099822998,132,128,132
Grad,5,5,1.8,0.0005,True,420.0192095551764,0.1691831161582306,0.18837276582945064,0.16394386291503907,144,138,144
Grad,5,5,1.8,0.001,True,454.6487040106366,0.19408202031595506,0.20425134286407287,0.1055872917175293,91,89,91
Grad,5,15,0.2,1e-05,True,356.80486414278596,0.34571038500458634,1.8470995860627475,0.8532148361206054,483,406,483
Grad,5,15,0.2,5e-05,True,345.31886895021825,0.378377610030565,0.8324447222615767,0.7489806652069092,405,353,405
Grad,5,15,0.2,0.0001,True,348.5614482021471,0.5630112225536166,1.0716367925967547,0.8389253616333008,444,395,444
Grad,5,15,0.2,0.0005,True,347.53751811984375,0.541318644186695,0.7941330247501044,0.6097400665283204,269,242,269
Grad,5,15,0.2,0.001,True,391.29352842190815,0.6887004871025182,0.9753551688847985,0.7670492649078369,356,318,356
Grad,5,15,0.4,1e-05,True,413.63231164407466,0.050205388525982844,0.10173376531213649,1.4887641429901124,592,552,592
Grad,5,15,0.4,5e-05,True,403.5985130528336,0.035140305891598694,0.09080010450342987,1.0472790241241454,404,375,404
Grad,5,15,0.4,0.0001,True,382.8265330498987,0.04497343957710128,0.08677913512438333,1.0153678417205811,418,392,418
Grad,5,15,0.4,0.0005,True,405.6289829974657,0.09831447498061079,0.15837631139147987,0.5988310813903809,249,244,249
