gradient,K,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
Grad,5,20,0.8,0.001,True,965.0782446937486,0.06309150806114845,0.09108133834525448,0.6909235954284668,266,262,266
Grad,5,20,1.0,1e-05,True,408.6002692539349,0.0073750867530355995,0.02078967595849045,2.252806615829468,974,956,974
Grad,5,20,1.0,5e-05,True,460.1691709955804,0.029984530007416965,0.04376847149337224,1.2415323734283448,595,586,595
Grad,5,20,1.0,0.0001,True,303.4232240703418,0.031738926571275465,0.05244011206981007,0.9394133567810059,448,443,448
Grad,5,20,1.0,0.0005,True,603.8242474235843,0.06229796584143745,0.08541004301036931,0.567521333694458,282,279,282
Grad,5,20,1.0,0.001,True,881.5682128188654,0.08058158438842986,0.1072926433536276,0.6225818634033203,241,239,241
Grad,5,20,1.2,1e-05,True,1770.1445323119383,0.013544309467452099,0.02422101097154596,2.7014935970306397,1345,1308,1345
Grad,5,20,1.2,5e-05,True,385.4912631917185,0.040732926762410235,0.057541849627126794,0.9922475814819336,504,495,504
Grad,5,20,1.2,0.0001,True,1188.073322394325,0.06148629672459396,0.07450022760590462,0.902604627609253,404,400,404
Grad,5,20,1.2,0.0005,True,240.26470192202888,0.08911312653885059,0.11130093481101974,0.6236765861511231,244,242,244
Grad,5,20,1.2,0.001,True,417.87403458679336,0.10729200553924101,0.1290356805588217,0.53670654296875,248,245,248
Grad,5,20,1.5,1e-05,True,460.55962330791255,0.04534518175529432,0.06159077540420912,3.1875143527984617,1387,1344,1387
Grad,5,20,1.5,5e-05,True,1222.935628701371,0.08288378599953487,0.10863577023428946,0.983793830871582,474,465,474
Grad,5,20,1.5,0.0001,True,502.13047914631846,0.09157928007019703,0.11485791206131088,1.5047975540161134,351,345,351
Grad,5,20,1.5,0.0005,True,888.8672976259751,0.11125640473836304,0.13173558558448922,0.6580492496490479,276,273,276
Grad,5,20,1.5,0.001,True,872.3886351962047,0.12293622973006005,0.14524869547330801,0.6554483413696289,286,282,286
Grad,5,20,1.8,1e-05,True,255.97117551836388,0.08705730872637193,0.11137157838675511,4.265843629837036,1961,1883,1961
Grad,5,20,1.8,5e-05,True,1845.0464257369774,0.10506814928986204,0.12763980818965115,1.274457836151123,447,437,447
Grad,5,20,1.8,0.0001,True,891.9888901709134,0.1092705174725848,0.12929309467400715,1.3286174297332765,451,442,451
Grad,5,20,1.8,0.0005,True,320.5643425827728,0.13000763421782163,0.1510667776244889,0.8312687397003173,400,391,400
Grad,5,20,1.8,0.001,True,731.3650743646344,0.1429452154311786,0.16227376270411853,0.9519291877746582,316,312,316
