gradient,K,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
Grad,5,15,1.8,0.0005,True,3769.9308505692097,0.02022433616867311,0.0387605204620395,1.4533494472503663,654,636,654
Grad,5,15,1.8,0.001,True,4182.813508273984,0.03303702415746253,0.05271387825562508,0.8914120197296143,367,361,367
Grad,5,30,0.2,1e-05,True,1522.9230161337825,0.004475822431083428,0.007945763348004675,11.180874395370484,2271,2171,2271
Grad,5,30,0.2,5e-05,True,1236.2418609139397,0.031708955603903896,0.0458872179469204,3.931989908218384,1024,980,1024
Grad,5,30,0.2,0.0001,True,1815.5787919349086,0.06079267171439506,0.08208898440605003,3.445503568649292,906,867,906
Grad,5,30,0.2,0.0005,True,1644.063052212916,0.09770804009969043,0.11456620096069377,1.2817703247070313,293,284,293
Grad,5,30,0.2,0.001,True,1201.8031414074849,0.12296645817471756,0.13525674378628144,1.1251380920410157,295,289,295
Grad,5,30,0.4,1e-05,True,3494.344908906484,0.0016284537249557681,0.0035345861332471583,8.96090841293335,2400,2297,2400
Grad,5,30,0.4,5e-05,True,3816.8730545666986,0.00867509374649906,0.014396525928169129,5.257212209701538,1348,1308,1348
Grad,5,30,0.4,0.0001,True,3348.3079619529253,0.028302876002146954,0.04210063772546659,3.624413824081421,978,941,978
Grad,5,30,0.4,0.0005,True,2314.6043675400856,0.08043510822433972,0.09857173801491678,1.9364985466003417,477,463,477
Grad,5,30,0.4,0.001,True,4613.648457321601,0.08893151749107678,0.1061005054747032,1.7777353763580321,479,464,479
Grad,5,30,0.6,1e-05,True,6121.244006249152,0.0006785145762322779,0.0016539509068748,8.88456220626831,2665,2559,2665
Grad,5,30,0.6,5e-05,True,5861.165467008668,0.004685413326893656,0.009151066231235008,4.299946689605713,1325,1278,1325
Grad,5,30,0.6,0.0001,True,5930.301965064713,0.01052044418370203,0.01888602014159845,3.948775577545166,1213,1179,1213
Grad,5,30,0.6,0.0005,True,5277.454145637037,0.03787456023471952,0.05539003899966101,2.8210903644561767,866,844,866
Grad,5,30,0.6,0.001,True,5267.53347586756,0.0813193548958077,0.09793883121758364,1.7710530281066894,544,525,544
Grad,5,30,0.8,1e-05,True,9358.073718008574,0.00040595790674143387,0.0010541047569830521,7.15956335067749,2506,2407,2506
